UTMMAP1,UTMMAP2,UTMMAP3,UTMMAP4,UTMSCALE,LAND_NO,EVAPRICE
4545,1,8424,15,1000,12,200.00000000
4545,1,8424,15,1000,44,200.00000000
4545,1,8426,04,1000,3,100.00000000
4545,1,8426,04,1000,10,380.00000000
4545,1,8428,16,1000,1,220.00000000
4545,1,8428,16,1000,13,250.00000000
4545,1,8430,00,4000,28,100.00000000
4545,1,8432,00,4000,20,270.00000000
4545,1,8432,00,4000,54,100.00000000
4545,1,8432,00,4000,57,100.00000000
4545,1,8432,07,1000,16,430.00000000
4545,1,8432,07,1000,25,430.00000000
4545,1,8432,07,1000,51,430.00000000
4545,1,8432,07,1000,61,380.00000000
4545,1,8432,11,1000,17,430.00000000
4545,1,8432,11,1000,20,430.00000000
4545,1,8432,12,1000,1,430.00000000
4545,1,8432,12,1000,27,430.00000000
4545,1,8442,01,2000,10,100.00000000
4545,1,8442,02,2000,14,200.00000000
4545,1,8442,06,1000,24,250.00000000
4545,1,8442,06,1000,27,250.00000000
4545,1,8442,10,1000,11,250.00000000
4545,1,8444,03,2000,10,200.00000000
4544,1,0000,009,5000,8,100.00000000
4544,1,0000,009,5000,98,100.00000000
4544,1,0000,023,5000,85,130.00000000
4544,1,0000,023,5000,87,100.00000000
4544,1,0000,036,5000,13,100.00000000
4544,1,0000,036,5000,36,100.00000000
4544,1,0000,049,5000,32,100.00000000
4544,1,0000,049,5000,58,100.00000000
4544,1,0000,049,5000,64,100.00000000
4544,1,0000,050,5000,48,100.00000000
4544,1,0000,050,5000,51,100.00000000
4544,1,8684,00,4000,3,170.00000000
4544,1,8684,00,4000,45,190.00000000
4544,1,8684,00,4000,48,190.00000000
4544,1,8684,00,4000,51,190.00000000
4544,1,8684,00,4000,77,190.00000000
4544,1,8684,00,4000,80,190.00000000
4544,1,8684,00,4000,112,190.00000000
4544,1,8684,00,4000,115,190.00000000
4544,1,8684,00,4000,148,140.00000000
4544,1,8684,00,4000,155,100.00000000
4544,1,8684,00,4000,178,100.00000000
4544,1,8684,00,4000,181,100.00000000
4544,1,8684,00,4000,201,150.00000000
4544,1,8684,00,4000,236,100.00000000
4544,1,8684,00,4000,239,100.00000000
4544,1,8684,00,4000,242,100.00000000
4544,1,8684,00,4000,245,100.00000000
4544,1,8684,00,4000,274,100.00000000
4544,1,8686,00,4000,1,500.00000000
4544,1,8686,00,4000,7,500.00000000
4544,1,8686,00,4000,14,100.00000000
4544,1,8688,00,4000,12,100.00000000
4544,1,8688,00,4000,15,100.00000000
4544,1,8688,00,4000,18,100.00000000
4544,1,8688,00,4000,38,150.00000000
4544,1,8688,00,4000,44,150.00000000
4545,1,0000,008,5000,16,200.00000000
4545,1,0000,009,5000,7,100.00000000
4545,1,0000,009,5000,10,100.00000000
4545,1,0000,009,5000,30,200.00000000
4545,1,0000,009,5000,36,100.00000000
4545,1,0000,009,5000,39,100.00000000
4545,1,0000,023,5000,30,250.00000000
4545,1,0000,023,5000,54,200.00000000
4545,1,0000,023,5000,123,250.00000000
4545,1,0000,107,5000,30,100.00000000
4545,1,0000,108,5000,10,600.00000000
4545,1,0000,108,5000,173,1200.00000000
4545,1,0000,108,5000,176,100.00000000
4545,1,0000,108,5000,240,100.00000000
4545,1,0000,109,5000,70,500.00000000
4545,1,0000,110,5000,7,100.00000000
4545,1,0000,163,5000,58,250.00000000
4545,1,0000,163,5000,153,100.00000000
4545,1,8220,00,4000,3,200.00000000
4545,1,8220,00,4000,9,200.00000000
4545,1,8244,02,2000,8,200.00000000
4545,1,8420,00,4000,7,100.00000000
4545,1,8422,00,4000,4,100.00000000
4545,1,8422,00,4000,59,100.00000000
4545,1,8422,00,4000,94,100.00000000
4545,1,8422,00,4000,117,100.00000000
4545,1,8422,00,4000,126,100.00000000
4545,1,8422,00,4000,149,100.00000000
4545,1,8422,00,4000,178,100.00000000
4545,1,8422,00,4000,187,100.00000000
4545,1,8422,00,4000,207,100.00000000
4545,1,8422,00,4000,210,100.00000000
4545,1,8422,00,4000,233,150.00000000
4545,1,8422,08,1000,16,250.00000000
4545,1,8422,11,1000,14,250.00000000
4545,1,8422,11,1000,17,250.00000000
4545,1,8422,11,1000,20,250.00000000
4545,1,8422,12,1000,1,250.00000000
4545,1,8422,12,1000,21,250.00000000
4545,1,8422,12,1000,53,250.00000000
4545,1,8422,12,1000,56,250.00000000
4545,1,8422,12,1000,85,250.00000000
4545,1,8424,14,1000,23,180.00000000
4545,1,8426,04,1000,2,380.00000000
4545,1,8428,16,1000,9,380.00000000
4545,1,8428,16,1000,35,380.00000000
4545,1,8428,16,1000,50,250.00000000
4545,1,8430,00,4000,4,100.00000000
4545,1,8430,00,4000,7,100.00000000
4545,1,8432,00,4000,73,330.00000000
4545,1,8432,00,4000,85,380.00000000
4545,1,8432,00,4000,91,380.00000000
4545,1,8432,07,1000,11,430.00000000
4545,1,8432,08,1000,36,430.00000000
4545,1,8432,11,1000,9,430.00000000
4544,1,0000,023,5000,75,100.00000000
4544,1,0000,049,5000,10,100.00000000
4544,1,0000,049,5000,33,100.00000000
4544,1,0000,050,5000,12,100.00000000
4544,1,8682,00,4000,3,100.00000000
4544,1,8684,00,4000,24,100.00000000
4544,1,8684,00,4000,31,190.00000000
4544,1,8684,00,4000,34,190.00000000
4544,1,8684,00,4000,57,190.00000000
4544,1,8684,00,4000,66,190.00000000
4544,1,8684,00,4000,92,190.00000000
4544,1,8684,00,4000,134,100.00000000
4544,1,8684,00,4000,160,140.00000000
4544,1,8684,00,4000,166,100.00000000
4544,1,8684,00,4000,230,100.00000000
4544,1,8684,00,4000,256,140.00000000
4544,1,8684,00,4000,265,100.00000000
4544,1,8684,00,4000,291,100.00000000
4544,1,8686,00,4000,6,190.00000000
4544,1,8686,00,4000,28,100.00000000
4544,1,8686,00,4000,31,100.00000000
4544,1,8686,00,4000,57,100.00000000
4544,1,8686,00,4000,60,100.00000000
4544,1,8688,00,4000,6,100.00000000
4544,1,8688,00,4000,32,150.00000000
4544,1,8688,00,4000,58,150.00000000
4544,1,8688,00,4000,67,150.00000000
4544,1,8688,00,4000,87,150.00000000
4544,1,8688,00,4000,89,130.00000000
4544,1,8688,00,4000,93,150.00000000
4545,1,0000,008,5000,10,100.00000000
4545,1,0000,009,5000,1,100.00000000
4545,1,0000,009,5000,23,130.00000000
4545,1,0000,009,5000,47,180.00000000
4545,1,0000,023,5000,12,130.00000000
4545,1,0000,023,5000,74,100.00000000
4545,1,0000,023,5000,100,180.00000000
4545,1,0000,023,5000,127,250.00000000
4545,1,0000,023,5000,134,130.00000000
4545,1,0000,023,5000,141,100.00000000
4545,1,0000,039,5000,32,100.00000000
4545,1,0000,093,5000,56,100.00000000
4545,1,0000,093,5000,120,100.00000000
4545,1,0000,107,5000,21,100.00000000
4545,1,0000,108,5000,3,1050.00000000
4545,1,0000,108,5000,225,100.00000000
4545,1,0000,109,5000,53,1200.00000000
4545,1,0000,109,5000,65,100.00000000
4545,1,0000,110,5000,3,1500.00000000
4545,1,0000,110,5000,9,100.00000000
4545,1,0000,110,5000,12,100.00000000
4545,1,0000,135,5000,6,130.00000000
4545,1,0000,135,5000,19,380.00000000
4545,1,0000,136,5000,17,100.00000000
4545,1,0000,136,5000,36,200.00000000
4545,1,8220,00,4000,20,200.00000000
4545,1,8420,00,4000,9,100.00000000
4545,1,8420,00,4000,21,130.00000000
